Order Date,Ship Mode,Segment,City,Postal Code,Sub-Category,Sales,Quantity,Discount,Profit,Day of Week,Year,Month,Quarter,Days
2014-01-07,3,0,147,77340,2,76.728,3,0.6,-53.7096,1,2014,1,1,0
2014-01-10,3,1,323,22153,2,51.94,1,0.0,21.2954,4,2014,1,1,3
2014-01-11,0,0,88,19901,2,9.94,2,0.0,3.0814,5,2014,1,1,4
2014-01-13,2,0,223,29464,1,545.94,6,0.0,87.3504,0,2014,1,1,6
2014-01-13,3,0,307,94109,0,333.999,3,0.15,3.9294,0,2014,1,1,6
2014-01-14,0,1,264,19140,0,61.96,4,0.5,-53.2856,1,2014,1,1,7
2014-01-16,2,0,264,19134,2,127.104,6,0.2,28.5984,3,2014,1,1,9
2014-01-19,0,0,315,85254,0,181.47,5,0.7,-320.597,6,2014,1,1,12
2014-01-20,3,0,361,48185,2,272.94,3,0.0,30.0234,0,2014,1,1,13
2014-01-20,3,0,153,72401,1,1067.94,3,0.0,224.2674,0,2014,1,1,13
2014-01-20,3,0,153,72401,2,38.6,4,0.0,11.58,0,2014,1,1,13
2014-01-20,3,0,184,90049,2,19.3,2,0.0,5.79,0,2014,1,1,13
2014-01-20,3,0,361,48185,2,14.73,3,0.0,4.8609,0,2014,1,1,13
2014-01-21,2,0,206,33180,2,25.248,3,0.2,4.1028,1,2014,1,1,14
2014-01-26,0,1,279,57701,0,141.96,2,0.0,39.7488,6,2014,1,1,19
2014-01-26,3,2,1,22304,2,62.82,3,0.0,30.7818,6,2014,1,1,19
2014-01-26,3,2,1,22304,2,12.42,3,0.0,4.4712,6,2014,1,1,19
2014-01-27,3,0,306,92037,3,333.0,3,0.2,-16.65,0,2014,1,1,20
2014-01-31,0,0,214,92691,0,290.666,2,0.15,3.4196,4,2014,1,1,24
2014-02-08,0,2,238,89031,2,14.56,2,0.0,5.5328,5,2014,2,1,32
2014-02-11,3,0,51,23320,3,1256.22,6,0.0,75.3732,1,2014,2,1,35
2014-02-11,2,0,65,65203,2,332.94,3,0.0,53.2704,1,2014,2,1,35
2014-02-11,2,0,65,65203,1,60.89,1,0.0,15.2225,1,2014,2,1,35
2014-02-12,3,0,67,94521,1,129.568,2,0.2,-24.294,2,2014,2,1,36
2014-02-18,1,0,187,79424,2,25.16,5,0.6,-11.322,1,2014,2,1,42
2014-02-20,3,1,286,47374,2,20.32,4,0.0,6.9088,3,2014,2,1,44
2014-03-01,3,0,97,79907,2,63.552,6,0.6,-34.9536,5,2014,3,1,53
2014-03-01,3,0,97,79907,1,362.25,6,0.3,0.0,5,2014,3,1,53
2014-03-01,3,0,146,77036,3,376.509,3,0.3,-43.0296,5,2014,3,1,53
2014-03-01,3,2,98,60126,1,634.116,6,0.3,-172.1172,5,2014,3,1,53
2014-03-01,2,0,316,98115,1,457.568,2,0.2,51.4764,5,2014,3,1,53
2014-03-03,3,1,66,43229,0,302.45,5,0.5,-199.617,0,2014,3,1,55
2014-03-03,3,0,306,92037,3,626.352,3,0.2,-23.4882,0,2014,3,1,55
2014-03-07,3,1,316,98103,1,481.568,2,0.2,54.1764,4,2014,3,1,59
2014-03-07,3,1,316,98103,1,436.704,6,0.2,21.8352,4,2014,3,1,59
2014-03-07,0,0,316,98103,1,48.712,1,0.2,5.4801,4,2014,3,1,59
2014-03-11,2,0,66,43229,2,8.32,5,0.2,2.288,1,2014,3,1,63
